排名,扫描频次,文件路径,风险等级,文件类型,完整路径
132,1,C:\Windows\System32\drivers\WinSetupMon.sys,低危,sys,"C:\Windows\System32\drivers\WinSetupMon.sys"
133,1,C:\Windows\System32\en-US\fwpuclnt.dll.mui,低危,mui,"C:\Windows\System32\en-US\fwpuclnt.dll.mui"
134,1,C:\Windows\System32\drivers\BTHUSB.SYS,低危,SYS,"C:\Windows\System32\drivers\BTHUSB.SYS"
135,1,C:\Windows\System32\DriverStore\FileRepository\nvlti.inf_amd64_b3badde551342cd6\amd_dpfc.sys,低危,sys,"C:\Windows\System32\DriverStore\FileRepository\nvlti.inf_amd64_b3badde551342cd6\amd_dpfc.sys"
136,1,C:\Windows\System32\drivers\kbdhid.sys,低危,sys,"C:\Windows\System32\drivers\kbdhid.sys"
137,1,C:\Windows\System32\drivers\CmBatt.sys,低危,sys,"C:\Windows\System32\drivers\CmBatt.sys"
138,1,C:\Windows\System32\drivers\tdi.sys,低危,sys,"C:\Windows\System32\drivers\tdi.sys"
139,1,C:\Windows\System32\drivers\volume.sys,低危,sys,"C:\Windows\System32\drivers\volume.sys"
140,1,C:\Windows\SysWOW64\rserver30\raddrvv3.sys,低危,sys,"C:\Windows\SysWOW64\rserver30\raddrvv3.sys"
141,1,C:\Windows\System32\DriverStore\FileRepository\gameflt.inf_amd64_152b7ad8bf20bdc5\gameflt.sys,低危,sys,"C:\Windows\System32\DriverStore\FileRepository\gameflt.inf_amd64_152b7ad8bf20bdc5\gameflt.sys"
142,1,C:\Windows\System32\DriverStore\FileRepository\amdppkg.inf_amd64_27762fb4b4d122d3\AmdPpkg.sys,低危,sys,"C:\Windows\System32\DriverStore\FileRepository\amdppkg.inf_amd64_27762fb4b4d122d3\AmdPpkg.sys"
143,1,C:\Windows\System32\drivers\fse.sys,低危,sys,"C:\Windows\System32\drivers\fse.sys"
144,1,C:\Windows\System32\drivers\Ndu.sys,低危,sys,"C:\Windows\System32\drivers\Ndu.sys"
145,1,C:\Windows\System32\drivers\CAD.sys,低危,sys,"C:\Windows\System32\drivers\CAD.sys"
146,1,C:\Windows\System32\drivers\rasl2tp.sys,低危,sys,"C:\Windows\System32\drivers\rasl2tp.sys"
147,1,C:\Windows\System32\drivers\lxss.sys,低危,sys,"C:\Windows\System32\drivers\lxss.sys"
148,1,C:\Windows\System32\drivers\ndproxy.sys,低危,sys,"C:\Windows\System32\drivers\ndproxy.sys"
149,1,C:\Windows\System32\drivers\ClipSp.sys,低危,sys,"C:\Windows\System32\drivers\ClipSp.sys"
150,1,C:\Windows\System32\kd.dll,低危,dll,"C:\Windows\System32\kd.dll"
151,1,C:\Program Files\AntiCheatExpert\SGuard\x64\sguard.dat,低危,dat,"C:\Program Files\AntiCheatExpert\SGuard\x64\sguard.dat"
152,1,C:\Windows\System32\drivers\globmerger.sys,低危,sys,"C:\Windows\System32\drivers\globmerger.sys"
153,1,C:\Windows\System32\user32.dll,低危,dll,"C:\Windows\System32\user32.dll"
154,1,C:\Windows\System32\drivers\ace-game.sys,低危,sys,"C:\Windows\System32\drivers\ace-game.sys"
155,1,C:\Windows\System32\DriverStore\FileRepository\wvkrnlintvsp.inf_amd64_e9dd1077ca4217ef\vkrnlintvsp.sys,低危,sys,"C:\Windows\System32\DriverStore\FileRepository\wvkrnlintvsp.inf_amd64_e9dd1077ca4217ef\vkrnlintvsp.sys"
